TimeStamp,GSR Data,ECG Data,EMG Data,Acc1 X,Acc1 Y,Acc1 z,Acc2 X,Acc2 Y,Acc2 z
15,483,507,508,15560,-5376,3152,4384,4116,-15204
21,483,509,510,15608,-5504,3216,4376,4148,-15196
27,484,511,515,15548,-5392,3392,4348,4016,-15172
32,484,510,519,15584,-5540,3236,4296,4052,-14972
38,485,510,516,15564,-5488,3216,4392,4012,-15132
44,485,510,508,15584,-5384,3288,4376,3976,-15064
50,485,508,510,15556,-5524,3440,4340,4020,-15348
55,486,506,511,15472,-5456,3140,4264,4124,-15248
61,486,504,503,15524,-5344,3272,4344,4016,-15064
66,486,500,504,15600,-5560,3068,4448,4084,-15120
72,487,497,505,15576,-5464,3324,4380,3984,-15020
78,487,496,504,15556,-5512,3376,4316,4120,-15140
83,487,494,502,15628,-5532,3300,4360,4100,-15020
90,487,492,496,15596,-5456,3256,4368,4080,-15068
95,488,491,495,15560,-5500,3176,4372,4180,-14944
101,488,490,496,15540,-5500,3348,4428,4108,-15220
106,488,491,498,15516,-5456,3336,4340,4100,-14932
112,488,492,499,15604,-5472,3272,4348,4068,-15140
117,488,493,502,15556,-5444,3352,4288,4144,-15076
123,488,493,497,15688,-5464,3320,4280,4084,-15184
130,488,493,496,15552,-5468,3364,4344,4060,-15136
135,488,494,502,15600,-5468,3468,4404,4068,-15288
141,489,495,506,15648,-5440,3240,4404,4020,-15208
146,489,496,498,15584,-5388,3336,4356,4052,-15168
152,489,498,496,15576,-5444,3284,4308,4024,-15184
157,489,501,500,15620,-5428,3152,4364,4020,-15004
163,489,502,500,15552,-5404,3304,4376,4012,-15008
168,489,502,505,15592,-5548,3216,4348,4044,-14980
175,489,504,503,15508,-5512,3296,4412,4048,-15148
181,489,506,503,15504,-5484,3436,4440,4168,-15220
186,489,506,505,15592,-5496,3308,4368,4040,-15132
192,489,505,508,15536,-5416,3164,4388,4136,-15216
197,489,506,506,15680,-5516,3216,4344,4088,-14928
203,490,506,504,15564,-5348,3208,4296,4096,-15136
208,490,505,507,15532,-5428,3264,4248,4148,-15072
215,490,507,506,15548,-5432,3160,4384,4196,-15008
221,490,509,511,15596,-5428,3288,4372,4152,-15232
226,490,509,507,15624,-5516,3300,4368,4124,-15100
232,490,509,504,15604,-5496,3228,4284,4016,-15312
237,490,510,504,15520,-5532,3344,4324,4048,-15204
243,490,511,508,15616,-5416,3172,4300,4008,-15180
248,490,511,509,15668,-5392,3188,4260,4108,-15132
254,490,509,511,15568,-5456,3152,4284,4084,-15200
260,490,507,509,15596,-5464,3360,4348,4264,-15312
266,490,507,506,15712,-5440,3356,4300,4152,-15064
272,490,506,504,15512,-5336,3372,4392,4116,-15068
277,490,507,507,15508,-5448,3244,4352,4052,-15248
283,490,508,504,15512,-5640,3272,4380,4132,-15128
288,490,506,504,15548,-5436,3312,4412,4120,-15304
294,490,504,505,15524,-5496,3316,4400,4088,-15152
300,490,504,505,15572,-5472,3196,4400,4056,-15240
306,490,506,506,15768,-5480,3224,4376,4012,-15180
311,490,508,505,15544,-5544,3464,4368,4056,-15080
317,490,510,507,15560,-5376,3212,4364,4092,-15068
323,490,511,509,15616,-5456,3212,4316,3992,-15052
328,490,510,507,15564,-5512,3264,4300,4008,-15012
334,490,510,507,15568,-5332,3208,4368,4064,-15204
339,490,511,507,15600,-5524,3156,4468,4040,-14996
346,490,511,509,15588,-5476,3360,4360,4056,-15128
351,490,511,506,15704,-5428,3384,4448,4052,-15052
357,490,512,511,15624,-5468,3264,4296,4036,-15208
362,490,514,512,15572,-5460,3256,4348,4212,-15176
368,489,516,512,15616,-5500,3260,4340,4112,-15224
374,489,518,515,15596,-5480,3268,4400,4116,-15168
379,489,521,516,15648,-5500,3308,4372,4044,-15180
386,489,521,512,15532,-5488,3216,4424,4068,-15200
391,489,523,508,15484,-5448,3204,4348,3996,-15116
397,489,517,507,15520,-5492,3212,4324,4064,-15156
402,489,511,504,15584,-5392,3344,4388,4012,-14948
408,489,506,503,15512,-5376,3244,4348,4144,-15124
413,489,501,502,15604,-5440,3352,4412,4108,-15216
